Rank,Time,Date of Birth,Year of Race
1,2:21:22,1972,2000
2,2:22,1972,2000
3,2:22,1974,2000
4,2:22,1973,2000
5,2:22,1968,2000
1,2:17:18,1973,2002
2,2:19:26,1972,2002
3,2:21:12,1979,2002
4,2:21:21,1979,2002
5,2:21:22,1979,2002
1,2:18:47,1972,2001
2,2:19:46,1972,2001
3,2:23:11,1979,2001
4,2:23:37,1983,2001
5,2:23:57,1972,2001
1,2:15:25,1973,2003
2,2:19:39,1979,2003
3,2:19:55,1972,2003
4,2:21:16,1973,2003
5,2:21:18,1978,2003
1,2:19:41,1979,2004
2,2:22:35,1976,2004
3,2:23:26,1975,2004
4,2:23:28,1978,2004
5,2:23:45,1970,2004
1,2:17:42,1973,2005
2,2:19:12,1978,2005
3,2:20:57,1973,2005
4,2:21:01,1979,2005
5,2:21:11,1978,2005
1,2:19:36,1973,2006
2,2:19:51,1978,2006
3,2:20:42,1973,2006
4,2:20:47,1977,2006
5,2:21:29,1968,2006
1,2:20:38,1978,2007
2,2:21:37,1978,2007
3,2:21:45,1974,2007
4,2:23:12,1981,2007
5,2:23:17,1974,2007
1,2:19:19,1972,2008
2,2:21:31,1984,2008
3,2:22:38,1990,2008
4,2:22:42,1973,2008
5,2:22:53,1977,2008
1,2:22:11,1972,2009
2,2:23:12,1973,2009
3,2:23:42,1979,2009
4,2:24:02,1983,2009
5,2:24:18,1982,2009
1,2:22:04,1987,2010
2,2:22:38,1985,2010
3,2:22:43,1984,2010
4,2:22:44,1984,2010
5,2:23:06,1992,2010
1,2:19:19,1982,2011
2,2:19:44,1987,2011
3,2:20:46,1979,2011
4,2:21:59,1983,2011
5,2:22:08,1987,2011
1,2:18:37,1982,2012
2,2:18:58,1987,2012
3,2:19:31,1985,2012
4,2:19:34,1984,2012
5,2:19:50,1979,2012
1,2:19:57,1981,2013
2,2:20:15,1984,2013
3,2:20:48,1984,2013
4,2:21:06,1988,2013
5,2:21:13,1987,2013
1,2:20:18,1984,2014
2,2:20:21,1979,2014
3,2:20:24,1987,2014
4,2:20:27,1988,2014
5,2:20:35,1985,2014
1,2:19:25,1983,2015
2,2:19:52,1989,2015
3,2:20:02,1985,2015
4,2:20:03,1983,2015
5,2:20:21,1984,2015
1,2:19:41,1984,2016
2,2:20:45,1986,2016
3,2:20:48,1991,2016
4,2:21:27,1985,2016
5,2:21:32,1987,2016
1,2:17:01,1982,2017
2,2:17:56,1985,2017
3,2:18:31,1985,2017
4,2:19:47,1984,2017
5,2:20:22,1994,2017
1,2:18:11,1983,2018
2,2:18:31,1983,2018
3,2:18:34,1994,2018
4,2:18:35,1994,2018
5,2:18:35,1985,2018
1,2:14:02,1994,2019
2,2:17:08,1994,2019
3,2:17:41,1990,2019
4,2:18:20,1994,2019
5,2:18:30,1997,2019
1,2:17:16,1993,2020
2,2:17:45,1988,2020
3,2:18:35,1993,2020
4,2:18:40,1993,2020
5,2:18:58,1994,2020